phenotype	phenoscore	phenoscore_time	pheno_id
apoptosis	  1.7145297	20.76	Pheno21
autophagy	  8.0949828	20.76	Pheno21
cell cycle block	 -2.3476435	20.76	Pheno21
cell cycle exit	 -0.5122207	20.76	Pheno21
cell cycle progress 	  2.3476435	20.76	Pheno21
cell death	  2.0437808	20.76	Pheno21
cell growth	  7.7270698	20.76	Pheno21
centrosome separation	 17.3466303	20.76	Pheno21
dendritic spine morphogenesis	 -8.0887622	20.76	Pheno21
fibrosis	  0.5945514	20.76	Pheno21
g1/s transition	  5.0263010	20.76	Pheno21
glycogen synthesis	 31.3569473	20.76	Pheno21
glycolysis	 -1.7157191	20.76	Pheno21
immortality	-20.3584997	20.76	Pheno21
lipogenesis	  9.7356123	20.76	Pheno21
m2 polarization	 16.2804604	20.76	Pheno21
metastasis	  6.7565865	20.76	Pheno21
mitotic checkpoint	 12.1341446	20.76	Pheno21
muscle atrophy	  8.0949828	20.76	Pheno21
myotube hypertrophy	 -2.9163209	20.76	Pheno21
neurogenesis	  8.2271336	20.76	Pheno21
proliferation	  0.9067685	20.76	Pheno21
protein synthesis	 -1.5425875	20.76	Pheno21
skeletal muscle differentiation	  2.8821697	20.76	Pheno21
stress granules	-22.2463498	20.76	Pheno21
survival	 -1.8364245	20.76	Pheno21
synaptic plasticity	 -2.0844190	20.76	Pheno21
t cell activation	  5.7948518	20.76	Pheno21
translational regulation	 -5.2931843	20.76	Pheno21
vldl assembly	 19.0017171	20.76	Pheno21
adipogenesis	  1.8214517	20.45	Pheno22
apoptosis	  1.8180342	20.45	Pheno22
autophagy	  9.3321061	20.45	Pheno22
cell cycle block	 -2.2619212	20.45	Pheno22
cell cycle exit	 -0.4445728	20.45	Pheno22
cell cycle progress 	  2.2619212	20.45	Pheno22
cell death	  2.4535032	20.45	Pheno22
cell growth	  7.8756708	20.45	Pheno22
centrosome separation	 14.2702450	20.45	Pheno22
dendritic spine morphogenesis	 -6.1877341	20.45	Pheno22
fibrosis	  0.6408117	20.45	Pheno22
g1/s transition	  5.3680684	20.45	Pheno22
glycogen synthesis	 17.3466303	20.45	Pheno22
glycolysis	 -1.2602827	20.45	Pheno22
immortality	-17.3466303	20.45	Pheno22
lipogenesis	  9.8102154	20.45	Pheno22
m2 polarization	 20.7473368	20.45	Pheno22
metastasis	  6.5872332	20.45	Pheno22
mitotic checkpoint	 10.1633029	20.45	Pheno22
muscle atrophy	  9.3321061	20.45	Pheno22
myotube hypertrophy	 -2.8235645	20.45	Pheno22
neurogenesis	  7.0934312	20.45	Pheno22
proliferation	  0.8967853	20.45	Pheno22
protein synthesis	 -1.4667876	20.45	Pheno22
skeletal muscle differentiation	  2.7615173	20.45	Pheno22
stress granules	-20.2537643	20.45	Pheno22
survival	 -1.8749865	20.45	Pheno22
synaptic plasticity	 -2.4367584	20.45	Pheno22
t cell activation	  6.1807962	20.45	Pheno22
translational regulation	 -6.0590833	20.45	Pheno22
vldl assembly	 11.7671822	20.45	Pheno22
adipogenesis	-9.914333e-01	22.1	Pheno23
alternative splicing regulation	 1.942530e+01	22.1	Pheno23
apoptosis	 3.704309e-01	22.1	Pheno23
autophagy	 1.243547e-02	22.1	Pheno23
cell cycle block	-8.451060e-01	22.1	Pheno23
cell cycle exit	-2.667319e-01	22.1	Pheno23
cell cycle progress 	 8.451060e-01	22.1	Pheno23
cell death	-2.467162e-17	22.1	Pheno23
cell growth	 2.948623e+00	22.1	Pheno23
centrosome separation	 1.056563e+01	22.1	Pheno23
chromatine condensation	-1.716844e+01	22.1	Pheno23
chromosome segregation	 2.924095e+00	22.1	Pheno23
dendritic spine morphogenesis	-1.723992e+00	22.1	Pheno23
differentiation	 8.942459e-01	22.1	Pheno23
dna repair	 5.142287e-01	22.1	Pheno23
epigenetic regulation	-1.542612e+00	22.1	Pheno23
epithelial-mesenchymal transition	 8.455167e-01	22.1	Pheno23
fatty acid biosynthesis	 7.408509e+00	22.1	Pheno23
fibrosis	 1.224981e+00	22.1	Pheno23
food intake	-6.176809e+00	22.1	Pheno23
g1/s transition	 4.849150e+00	22.1	Pheno23
glycogen synthesis	 2.177942e+00	22.1	Pheno23
glycolysis	-3.313725e-01	22.1	Pheno23
hexosamine biosynthesis	 1.225621e+01	22.1	Pheno23
immortality	-7.463239e+00	22.1	Pheno23
lipogenesis	 3.629004e+00	22.1	Pheno23
m1 polarization	 3.633690e+00	22.1	Pheno23
m2 polarization	 3.392201e+00	22.1	Pheno23
mast-cell diff	 7.401254e+00	22.1	Pheno23
megakaryocyte differentiation 	 7.401254e+00	22.1	Pheno23
metastasis	 3.243787e+00	22.1	Pheno23
microtubule polimerization	 4.020256e+00	22.1	Pheno23
mitochondrial fission	-2.511721e+00	22.1	Pheno23
mitotic checkpoint	 3.380993e+00	22.1	Pheno23
mrna capping	 5.347593e+00	22.1	Pheno23
muscle atrophy	-4.780315e-01	22.1	Pheno23
myoblast fusion	 1.286154e+00	22.1	Pheno23
myotube hypertrophy	-2.094784e+00	22.1	Pheno23
neurite outgrowth	 1.897594e+00	22.1	Pheno23
neurodegeneration	 3.294965e+00	22.1	Pheno23
neurogenesis	-3.391691e+00	22.1	Pheno23
neuron maturation	          Inf	22.1	Pheno23
nucleotide synthesis	 0.000000e+00	22.1	Pheno23
osteoclast differentiation	 8.844936e+00	22.1	Pheno23
proliferation	 1.138083e-01	22.1	Pheno23
protein aggregates	 2.699261e+00	22.1	Pheno23
protein glycosylation	 1.225621e+01	22.1	Pheno23
protein synthesis	-1.333304e+00	22.1	Pheno23
pyrimidine biosynthesis	-5.285704e+00	22.1	Pheno23
rrna transcription	 2.022658e+00	22.1	Pheno23
skeletal muscle differentiation	-5.694086e+00	22.1	Pheno23
spindle assembly	 4.517507e+00	22.1	Pheno23
stress granules	-1.631436e+01	22.1	Pheno23
survival	-1.413228e+00	22.1	Pheno23
synaptic plasticity	-1.584559e-01	22.1	Pheno23
synaptic vesicle exocytosis	 5.314581e+00	22.1	Pheno23
t cell activation	 9.663793e-01	22.1	Pheno23
translational regulation	-1.933060e+00	22.1	Pheno23
vesicle transport	          Inf	22.1	Pheno23
vldl assembly	 4.246405e+00	22.1	Pheno23
adipogenesis	-1.190972e+00	21.68	Pheno24
alternative splicing regulation	 1.477135e+01	21.68	Pheno24
apoptosis	 3.809229e-01	21.68	Pheno24
autophagy	 1.178307e-01	21.68	Pheno24
cell cycle block	-7.642359e-01	21.68	Pheno24
cell cycle exit	-2.630955e-01	21.68	Pheno24
cell cycle progress 	 7.642359e-01	21.68	Pheno24
cell death	-1.240207e-17	21.68	Pheno24
cell growth	 3.078772e+00	21.68	Pheno24
centrosome separation	 1.014121e+01	21.68	Pheno24
chromatine condensation	-1.264372e+01	21.68	Pheno24
chromosome segregation	 3.258596e+00	21.68	Pheno24
dendritic spine morphogenesis	-1.963447e+00	21.68	Pheno24
differentiation	 8.463762e-01	21.68	Pheno24
dna repair	 3.673629e-01	21.68	Pheno24
epigenetic regulation	-1.424296e+00	21.68	Pheno24
epithelial-mesenchymal transition	 8.834240e-01	21.68	Pheno24
fatty acid biosynthesis	 6.067533e+00	21.68	Pheno24
fibrosis	 1.237659e+00	21.68	Pheno24
food intake	-6.176809e+00	21.68	Pheno24
g1/s transition	 4.833892e+00	21.68	Pheno24
glycogen synthesis	 1.873201e+00	21.68	Pheno24
glycolysis	-3.361391e-01	21.68	Pheno24
hexosamine biosynthesis	 1.633107e+01	21.68	Pheno24
immortality	-4.703781e+00	21.68	Pheno24
lipogenesis	 3.617766e+00	21.68	Pheno24
m1 polarization	 4.023381e+00	21.68	Pheno24
m2 polarization	 3.070415e+00	21.68	Pheno24
mast-cell diff	 9.174375e+00	21.68	Pheno24
megakaryocyte differentiation 	 9.174375e+00	21.68	Pheno24
metastasis	 3.235034e+00	21.68	Pheno24
microtubule polimerization	 3.742016e+00	21.68	Pheno24
mitochondrial fission	-2.748123e+00	21.68	Pheno24
mitotic checkpoint	 4.002474e+00	21.68	Pheno24
mrna capping	 4.930746e+00	21.68	Pheno24
muscle atrophy	-4.075935e-01	21.68	Pheno24
myoblast fusion	 1.407271e+00	21.68	Pheno24
myotube hypertrophy	-2.261567e+00	21.68	Pheno24
neurite outgrowth	 2.274246e+00	21.68	Pheno24
neurodegeneration	 2.943777e+00	21.68	Pheno24
neurogenesis	-3.710791e+00	21.68	Pheno24
neuron maturation	          Inf	21.68	Pheno24
nucleotide synthesis	 0.000000e+00	21.68	Pheno24
osteoclast differentiation	 6.375293e+00	21.68	Pheno24
proliferation	 1.075085e-01	21.68	Pheno24
protein aggregates	 2.638281e+00	21.68	Pheno24
protein glycosylation	 1.633107e+01	21.68	Pheno24
protein synthesis	-1.469437e+00	21.68	Pheno24
pyrimidine biosynthesis	-6.213186e+00	21.68	Pheno24
rrna transcription	 1.773264e+00	21.68	Pheno24
skeletal muscle differentiation	-5.161186e+00	21.68	Pheno24
spindle assembly	 4.752656e+00	21.68	Pheno24
stress granules	-1.888512e+01	21.68	Pheno24
survival	-1.325783e+00	21.68	Pheno24
synaptic plasticity	-3.195106e-01	21.68	Pheno24
synaptic vesicle exocytosis	 5.111307e+00	21.68	Pheno24
t cell activation	 1.042204e+00	21.68	Pheno24
translational regulation	-2.073327e+00	21.68	Pheno24
vesicle transport	          Inf	21.68	Pheno24
vldl assembly	 4.642733e+00	21.68	Pheno24
cell death	 -4.573592	21.32	Pheno25
glycolysis	 14.164192	21.32	Pheno25
lipogenesis	  9.859325	21.32	Pheno25
myotube hypertrophy	-12.808636	21.32	Pheno25
proliferation	  0.000000	21.32	Pheno25
vldl assembly	 22.098904	21.32	Pheno25
cell death	 -5.364835	20.96	Pheno26
glycolysis	 15.828640	20.96	Pheno26
lipogenesis	  9.147025	20.96	Pheno26
myotube hypertrophy	-15.081885	20.96	Pheno26
proliferation	  0.000000	20.96	Pheno26
vldl assembly	 12.808636	20.96	Pheno26
apoptosis	 -5.4021086	21.94	Pheno27
autophagy	 -8.1015493	21.94	Pheno27
cell cycle block	 -1.5226544	21.94	Pheno27
cell cycle exit	  4.0594813	21.94	Pheno27
cell cycle progress 	 -1.5226544	21.94	Pheno27
cell death	 -5.6930599	21.94	Pheno27
cell growth	  7.1496852	21.94	Pheno27
centrosome separation	 16.2030987	21.94	Pheno27
dendritic spine morphogenesis	  7.1496852	21.94	Pheno27
fibrosis	 -0.7746247	21.94	Pheno27
glycolysis	 10.8395740	21.94	Pheno27
lipogenesis	-15.6537815	21.94	Pheno27
m2 polarization	 24.2491723	21.94	Pheno27
metastasis	 -5.2670240	21.94	Pheno27
muscle atrophy	 -8.1015493	21.94	Pheno27
myotube hypertrophy	 -2.8112798	21.94	Pheno27
proliferation	 -5.4516763	21.94	Pheno27
protein synthesis	 -0.9469604	21.94	Pheno27
skeletal muscle differentiation	 -3.3898006	21.94	Pheno27
survival	 -1.8117639	21.94	Pheno27
t cell activation	 -0.5807829	21.94	Pheno27
translational regulation	  6.5683970	21.94	Pheno27
vldl assembly	 -6.8134012	21.94	Pheno27
apoptosis	 -6.3994247	21.37	Pheno28
autophagy	 -6.7407358	21.37	Pheno28
cell cycle block	 -1.2804268	21.37	Pheno28
cell cycle exit	  4.0531464	21.37	Pheno28
cell cycle progress 	 -1.2804268	21.37	Pheno28
cell death	 -7.4378753	21.37	Pheno28
cell growth	  6.7691030	21.37	Pheno28
centrosome separation	 18.6425831	21.37	Pheno28
dendritic spine morphogenesis	  6.0001298	21.37	Pheno28
fibrosis	 -0.6463597	21.37	Pheno28
glycolysis	  9.6379906	21.37	Pheno28
lipogenesis	-16.0167464	21.37	Pheno28
m2 polarization	 32.5282963	21.37	Pheno28
metastasis	 -5.5689757	21.37	Pheno28
muscle atrophy	 -6.7407358	21.37	Pheno28
myotube hypertrophy	 -2.4860154	21.37	Pheno28
proliferation	 -4.8479819	21.37	Pheno28
protein synthesis	 -0.9281626	21.37	Pheno28
skeletal muscle differentiation	 -2.8477374	21.37	Pheno28
survival	 -2.1185211	21.37	Pheno28
t cell activation	 -0.8221760	21.37	Pheno28
translational regulation	  9.0443628	21.37	Pheno28
vldl assembly	 -4.1605855	21.37	Pheno28
adipogenesis	-15.6830108	23.75	Pheno29
alternative splicing regulation	-28.1620475	23.75	Pheno29
apoptosis	 -0.2876886	23.75	Pheno29
autophagy	 -9.6897077	23.75	Pheno29
cell cycle block	-30.6573564	23.75	Pheno29
cell cycle exit	-12.8593782	23.75	Pheno29
cell cycle progress 	-30.6573564	23.75	Pheno29
cell death	 -1.1197192	23.75	Pheno29
cell growth	 28.9048442	23.75	Pheno29
centrosome separation	 25.9073017	23.75	Pheno29
chromatine condensation	 18.5619455	23.75	Pheno29
cilium assembly	 17.5363213	23.75	Pheno29
dendritic spine morphogenesis	  3.8713655	23.75	Pheno29
differentiation	-17.7207471	23.75	Pheno29
dna repair	 -3.6275103	23.75	Pheno29
epigenetic regulation	  2.1723669	23.75	Pheno29
epithelial-mesenchymal transition	  3.7786224	23.75	Pheno29
fatty acid biosynthesis	  6.4518197	23.75	Pheno29
fibrosis	 19.0300347	23.75	Pheno29
food intake	 17.9391770	23.75	Pheno29
g1/s transition	-11.6693805	23.75	Pheno29
glycogen synthesis	 -6.5115899	23.75	Pheno29
glycolysis	  3.9710523	23.75	Pheno29
immortality	 -9.4890960	23.75	Pheno29
lipogenesis	 -7.3640376	23.75	Pheno29
m1 polarization	  7.8339615	23.75	Pheno29
m2 polarization	 22.1719469	23.75	Pheno29
mast-cell diff	 -9.1741774	23.75	Pheno29
megakaryocyte differentiation 	 -9.1741774	23.75	Pheno29
metastasis	 -6.5691774	23.75	Pheno29
microtubule polimerization	 -9.3575930	23.75	Pheno29
mitochondrial fission	  4.5352528	23.75	Pheno29
mitotic checkpoint	 -2.3269792	23.75	Pheno29
muscle atrophy	 -9.5391466	23.75	Pheno29
myoblast fusion	 -0.7733915	23.75	Pheno29
myotube hypertrophy	-10.6109887	23.75	Pheno29
neurite outgrowth	 -5.3678908	23.75	Pheno29
neurodegeneration	  5.1250144	23.75	Pheno29
neurogenesis	 -6.6276401	23.75	Pheno29
neuron maturation	       -Inf	23.75	Pheno29
nucleotide synthesis	  0.0000000	23.75	Pheno29
osteoclast differentiation	 22.5213558	23.75	Pheno29
proliferation	 -3.8017409	23.75	Pheno29
protein synthesis	-14.7306730	23.75	Pheno29
pyrimidine biosynthesis	-15.4884383	23.75	Pheno29
rrna transcription	  8.1491446	23.75	Pheno29
skeletal muscle differentiation	-25.6126253	23.75	Pheno29
spindle assembly	-18.7538414	23.75	Pheno29
stress granules	 22.5213558	23.75	Pheno29
survival	 -9.7271928	23.75	Pheno29
synaptic plasticity	 -7.8585545	23.75	Pheno29
synaptic vesicle exocytosis	 -4.8679409	23.75	Pheno29
t cell activation	 13.6498686	23.75	Pheno29
translational regulation	-10.3396905	23.75	Pheno29
vesicle transport	       -Inf	23.75	Pheno29
vldl assembly	 -9.2317242	23.75	Pheno29
adipogenesis	-14.0478942	22.95	Pheno30
alternative splicing regulation	-33.1395970	22.95	Pheno30
apoptosis	 -0.4720478	22.95	Pheno30
autophagy	 -9.0473882	22.95	Pheno30
cell cycle block	-26.0251573	22.95	Pheno30
cell cycle exit	 -8.9718904	22.95	Pheno30
cell cycle progress 	-26.0251573	22.95	Pheno30
cell death	 -1.2310173	22.95	Pheno30
cell growth	 27.9314003	22.95	Pheno30
centrosome separation	  7.1556464	22.95	Pheno30
chromatine condensation	 14.9886431	22.95	Pheno30
cilium assembly	 13.5865992	22.95	Pheno30
dendritic spine morphogenesis	  4.1022130	22.95	Pheno30
differentiation	-17.7928351	22.95	Pheno30
dna repair	 -3.7719360	22.95	Pheno30
epigenetic regulation	  1.5516355	22.95	Pheno30
epithelial-mesenchymal transition	  3.5525188	22.95	Pheno30
fatty acid biosynthesis	  7.2743204	22.95	Pheno30
fibrosis	 18.2155708	22.95	Pheno30
food intake	  9.1181537	22.95	Pheno30
g1/s transition	-12.8580268	22.95	Pheno30
glycogen synthesis	 -8.4606957	22.95	Pheno30
glycolysis	  3.4530472	22.95	Pheno30
immortality	 -8.8636791	22.95	Pheno30
lipogenesis	 -6.4841537	22.95	Pheno30
m1 polarization	  8.2041234	22.95	Pheno30
m2 polarization	 21.4071896	22.95	Pheno30
mast-cell diff	 -9.4960449	22.95	Pheno30
megakaryocyte differentiation 	 -9.4960449	22.95	Pheno30
metastasis	 -7.0495676	22.95	Pheno30
microtubule polimerization	-10.3447678	22.95	Pheno30
mitochondrial fission	  5.6559203	22.95	Pheno30
mitotic checkpoint	 -0.3185579	22.95	Pheno30
muscle atrophy	 -8.8800656	22.95	Pheno30
myoblast fusion	 -0.6258086	22.95	Pheno30
myotube hypertrophy	 -8.0862802	22.95	Pheno30
neurite outgrowth	 -7.7982531	22.95	Pheno30
neurodegeneration	  4.3663071	22.95	Pheno30
neurogenesis	 -7.2795734	22.95	Pheno30
neuron maturation	       -Inf	22.95	Pheno30
nucleotide synthesis	  0.0000000	22.95	Pheno30
osteoclast differentiation	 18.8771331	22.95	Pheno30
proliferation	 -3.1440163	22.95	Pheno30
protein synthesis	-14.3432825	22.95	Pheno30
pyrimidine biosynthesis	-14.8441256	22.95	Pheno30
rrna transcription	  9.0038973	22.95	Pheno30
skeletal muscle differentiation	-27.7975990	22.95	Pheno30
spindle assembly	-17.7172936	22.95	Pheno30
stress granules	 14.3888333	22.95	Pheno30
survival	-13.9407269	22.95	Pheno30
synaptic plasticity	 -7.0993040	22.95	Pheno30
synaptic vesicle exocytosis	 -5.5155467	22.95	Pheno30
t cell activation	 12.4449518	22.95	Pheno30
translational regulation	-10.0307079	22.95	Pheno30
vesicle transport	       -Inf	22.95	Pheno30
vldl assembly	 -9.1999235	22.95	Pheno30
apoptosis	 -4.921373	20.18	Pheno31
cell cycle block	 -9.045771	20.18	Pheno31
cell cycle exit	  1.810985	20.18	Pheno31
cell cycle progress 	 -9.045771	20.18	Pheno31
cell death	 -4.811495	20.18	Pheno31
cell growth	  8.442582	20.18	Pheno31
glycolysis	 16.094908	20.18	Pheno31
lipogenesis	  8.225980	20.18	Pheno31
myotube hypertrophy	-19.770526	20.18	Pheno31
proliferation	  0.000000	20.18	Pheno31
vldl assembly	 15.144033	20.18	Pheno31
apoptosis	 -5.136189	20.74	Pheno32
cell cycle block	-11.647961	20.74	Pheno32
cell cycle exit	  2.981151	20.74	Pheno32
cell cycle progress 	-11.647961	20.74	Pheno32
cell death	 -5.368394	20.74	Pheno32
cell growth	  9.877289	20.74	Pheno32
glycolysis	 15.047123	20.74	Pheno32
lipogenesis	 10.539849	20.74	Pheno32
myotube hypertrophy	-10.168615	20.74	Pheno32
proliferation	  0.000000	20.74	Pheno32
vldl assembly	 15.969969	20.74	Pheno32
adipogenesis	 -2.0231624	21.62	Pheno33
apoptosis	 -5.5844479	21.62	Pheno33
autophagy	 -8.6864796	21.62	Pheno33
cell cycle block	 -1.9010727	21.62	Pheno33
cell cycle exit	  6.1090925	21.62	Pheno33
cell cycle progress 	 -1.9010727	21.62	Pheno33
cell death	 -8.0008563	21.62	Pheno33
cell growth	  0.8964859	21.62	Pheno33
centrosome separation	 16.1899657	21.62	Pheno33
dendritic spine morphogenesis	  5.7957195	21.62	Pheno33
fibrosis	 -0.6942724	21.62	Pheno33
g1/s transition	  5.5370875	21.62	Pheno33
glycogen synthesis	-18.6963969	21.62	Pheno33
glycolysis	  8.0059234	21.62	Pheno33
immortality	-43.0474478	21.62	Pheno33
lipogenesis	-13.9506791	21.62	Pheno33
m2 polarization	 30.2712268	21.62	Pheno33
metastasis	-11.0447295	21.62	Pheno33
mitotic checkpoint	  9.0312298	21.62	Pheno33
muscle atrophy	 -8.6864796	21.62	Pheno33
myotube hypertrophy	 -2.7423779	21.62	Pheno33
neurogenesis	 -8.2271336	21.62	Pheno33
proliferation	 -8.6339410	21.62	Pheno33
protein synthesis	 -3.2710711	21.62	Pheno33
skeletal muscle differentiation	 -3.1068298	21.62	Pheno33
stress granules	 12.7385985	21.62	Pheno33
survival	 -1.8401016	21.62	Pheno33
synaptic plasticity	 -2.4696826	21.62	Pheno33
t cell activation	  0.8335928	21.62	Pheno33
translational regulation	  5.9120586	21.62	Pheno33
vldl assembly	 -6.7189874	21.62	Pheno33
adipogenesis	 -1.7734044	21.03	Pheno34
apoptosis	 -5.0029933	21.03	Pheno34
autophagy	 -6.0352378	21.03	Pheno34
cell cycle block	 -1.5723954	21.03	Pheno34
cell cycle exit	  5.2995419	21.03	Pheno34
cell cycle progress 	 -1.5723954	21.03	Pheno34
cell death	 -6.4193576	21.03	Pheno34
cell growth	  0.4603049	21.03	Pheno34
centrosome separation	 16.0808212	21.03	Pheno34
dendritic spine morphogenesis	  6.0724772	21.03	Pheno34
fibrosis	 -0.7817570	21.03	Pheno34
g1/s transition	  6.0265944	21.03	Pheno34
glycogen synthesis	-18.6642122	21.03	Pheno34
glycolysis	  7.6681902	21.03	Pheno34
immortality	-11.5321257	21.03	Pheno34
lipogenesis	-11.5666419	21.03	Pheno34
m2 polarization	 41.1936436	21.03	Pheno34
metastasis	 -4.6230404	21.03	Pheno34
mitotic checkpoint	  8.1797089	21.03	Pheno34
muscle atrophy	 -6.0352378	21.03	Pheno34
myotube hypertrophy	 -2.0197078	21.03	Pheno34
neurogenesis	 -8.7142006	21.03	Pheno34
proliferation	 -7.5337743	21.03	Pheno34
protein synthesis	 -2.9988570	21.03	Pheno34
skeletal muscle differentiation	 -3.3026197	21.03	Pheno34
stress granules	 13.3891573	21.03	Pheno34
survival	 -1.9476919	21.03	Pheno34
synaptic plasticity	 -2.4198536	21.03	Pheno34
t cell activation	 -0.3749922	21.03	Pheno34
translational regulation	  5.0885422	21.03	Pheno34
vldl assembly	 -5.5380292	21.03	Pheno34
adipogenesis	-14.7030624	22.88	Pheno35
alternative splicing regulation	-45.8415563	22.88	Pheno35
apoptosis	  0.0000000	22.88	Pheno35
autophagy	 -4.0721291	22.88	Pheno35
cell cycle block	-25.7099708	22.88	Pheno35
cell cycle exit	 -8.1675040	22.88	Pheno35
cell cycle progress 	-25.7099708	22.88	Pheno35
cell death	  2.0773866	22.88	Pheno35
cell growth	 28.7567774	22.88	Pheno35
centrosome separation	  8.0539006	22.88	Pheno35
chromatine condensation	 10.0584276	22.88	Pheno35
chromosome segregation	 -2.9186699	22.88	Pheno35
dendritic spine morphogenesis	  3.2125146	22.88	Pheno35
differentiation	-15.9632076	22.88	Pheno35
dna repair	 -3.5738170	22.88	Pheno35
epigenetic regulation	  1.5141826	22.88	Pheno35
epithelial-mesenchymal transition	  9.8054623	22.88	Pheno35
fatty acid biosynthesis	  0.4762193	22.88	Pheno35
fibrosis	 12.4971808	22.88	Pheno35
food intake	  5.3339081	22.88	Pheno35
g1/s transition	-28.7303957	22.88	Pheno35
glycogen synthesis	 -5.7210198	22.88	Pheno35
glycolysis	  2.6481323	22.88	Pheno35
hexosamine biosynthesis	-12.2272478	22.88	Pheno35
immortality	 -6.1081872	22.88	Pheno35
lipogenesis	 -3.2539904	22.88	Pheno35
m1 polarization	  9.0768994	22.88	Pheno35
m2 polarization	 20.0255960	22.88	Pheno35
mast-cell diff	 -8.2880918	22.88	Pheno35
megakaryocyte differentiation 	 -8.2880918	22.88	Pheno35
metastasis	 -6.7133136	22.88	Pheno35
microtubule polimerization	 -8.0710666	22.88	Pheno35
mitochondrial fission	  2.3280118	22.88	Pheno35
mitotic checkpoint	  0.5386552	22.88	Pheno35
mrna capping	 -3.9132990	22.88	Pheno35
muscle atrophy	 -6.2416179	22.88	Pheno35
myoblast fusion	 -1.3723488	22.88	Pheno35
myotube hypertrophy	-10.4405124	22.88	Pheno35
neurite outgrowth	 -4.5147073	22.88	Pheno35
neurodegeneration	  4.5121166	22.88	Pheno35
neurogenesis	 -5.5998482	22.88	Pheno35
neuron maturation	       -Inf	22.88	Pheno35
nucleotide synthesis	  0.0000000	22.88	Pheno35
osteoclast differentiation	  8.0520439	22.88	Pheno35
proliferation	 -4.6675498	22.88	Pheno35
protein aggregates	  2.6810267	22.88	Pheno35
protein glycosylation	-12.2272478	22.88	Pheno35
protein synthesis	-10.1526201	22.88	Pheno35
pyrimidine biosynthesis	-27.0721618	22.88	Pheno35
rrna transcription	  1.8486350	22.88	Pheno35
skeletal muscle differentiation	-24.0273323	22.88	Pheno35
spindle assembly	 -4.8162775	22.88	Pheno35
stress granules	 16.2880322	22.88	Pheno35
survival	 -6.7179823	22.88	Pheno35
synaptic plasticity	-11.6843220	22.88	Pheno35
synaptic vesicle exocytosis	 -4.2510386	22.88	Pheno35
t cell activation	  7.4937029	22.88	Pheno35
translational regulation	 -8.1574492	22.88	Pheno35
vesicle transport	       -Inf	22.88	Pheno35
vldl assembly	 -3.3511348	22.88	Pheno35
adipogenesis	-12.9526139	24.32	Pheno36
alternative splicing regulation	-39.6600912	24.32	Pheno36
apoptosis	  0.0000000	24.32	Pheno36
autophagy	 -4.6738530	24.32	Pheno36
cell cycle block	-24.1959548	24.32	Pheno36
cell cycle exit	 -8.0197252	24.32	Pheno36
cell cycle progress 	-24.1959548	24.32	Pheno36
cell death	  2.2096473	24.32	Pheno36
cell growth	 33.5751954	24.32	Pheno36
centrosome separation	  5.7012186	24.32	Pheno36
chromatine condensation	 18.5485267	24.32	Pheno36
chromosome segregation	 -2.6974807	24.32	Pheno36
dendritic spine morphogenesis	  3.9198509	24.32	Pheno36
differentiation	-16.9353999	24.32	Pheno36
dna repair	 -3.9443709	24.32	Pheno36
epigenetic regulation	  1.3154956	24.32	Pheno36
epithelial-mesenchymal transition	  8.7793385	24.32	Pheno36
fatty acid biosynthesis	  0.9429358	24.32	Pheno36
fibrosis	 14.8318362	24.32	Pheno36
food intake	  9.1161660	24.32	Pheno36
g1/s transition	-25.7807447	24.32	Pheno36
glycogen synthesis	 -4.7738457	24.32	Pheno36
glycolysis	  2.6206059	24.32	Pheno36
hexosamine biosynthesis	-20.5565673	24.32	Pheno36
immortality	 -7.6786674	24.32	Pheno36
lipogenesis	 -3.1087329	24.32	Pheno36
m1 polarization	  7.8582839	24.32	Pheno36
m2 polarization	 22.7058626	24.32	Pheno36
mast-cell diff	 -8.5626860	24.32	Pheno36
megakaryocyte differentiation 	 -8.5626860	24.32	Pheno36
metastasis	 -5.7931094	24.32	Pheno36
microtubule polimerization	 -8.4766661	24.32	Pheno36
mitochondrial fission	  2.5522143	24.32	Pheno36
mitotic checkpoint	 -1.1366910	24.32	Pheno36
mrna capping	 -3.6974374	24.32	Pheno36
muscle atrophy	 -6.9757551	24.32	Pheno36
myoblast fusion	 -1.4056536	24.32	Pheno36
myotube hypertrophy	 -9.4636579	24.32	Pheno36
neurite outgrowth	 -3.7855106	24.32	Pheno36
neurodegeneration	  4.9667795	24.32	Pheno36
neurogenesis	 -6.3215072	24.32	Pheno36
neuron maturation	       -Inf	24.32	Pheno36
nucleotide synthesis	  0.0000000	24.32	Pheno36
osteoclast differentiation	  9.4847312	24.32	Pheno36
proliferation	 -4.5629741	24.32	Pheno36
protein aggregates	  3.7611099	24.32	Pheno36
protein glycosylation	-20.5565673	24.32	Pheno36
protein synthesis	-10.8368349	24.32	Pheno36
pyrimidine biosynthesis	-27.4802978	24.32	Pheno36
rrna transcription	  1.4173684	24.32	Pheno36
skeletal muscle differentiation	-20.7387521	24.32	Pheno36
spindle assembly	 -4.9689348	24.32	Pheno36
stress granules	 13.5866811	24.32	Pheno36
survival	-12.4791389	24.32	Pheno36
synaptic plasticity	-11.2793195	24.32	Pheno36
synaptic vesicle exocytosis	 -5.2076365	24.32	Pheno36
t cell activation	  7.5299782	24.32	Pheno36
translational regulation	 -8.7975873	24.32	Pheno36
vesicle transport	       -Inf	24.32	Pheno36
vldl assembly	 -3.0849268	24.32	Pheno36
